periode,m1,m2,n,DM,pval,sig
1990–1999,AR(1),AR(p),120,0.022928570722535912,0.9817072502420223,
1990–1999,AR(1),LinearRegression,120,-0.4927828337262482,0.6221660413596308,
1990–1999,AR(1),Ridge + Bagging,120,-0.09353662358522027,0.9254772558041229,
1990–1999,AR(p),LinearRegression,120,-0.706686054193768,0.4797615979307146,
1990–1999,AR(p),Ridge + Bagging,120,-0.15536625649301614,0.8765325845240319,
1990–1999,LinearRegression,Ridge + Bagging,120,1.9415072887924019,0.052196776196918204,*
2000–juillet 2008,AR(1),AR(p),103,1.292393840426871,0.1962207887387344,
2000–juillet 2008,AR(1),LinearRegression,103,0.216573145716942,0.8285410156448687,
2000–juillet 2008,AR(1),Ridge + Bagging,103,0.5406996692535495,0.5887146065045634,
2000–juillet 2008,AR(p),LinearRegression,103,-0.1914881448918171,0.8481431676959188,
2000–juillet 2008,AR(p),Ridge + Bagging,103,0.10451855009297895,0.9167578480559739,
2000–juillet 2008,LinearRegression,Ridge + Bagging,103,1.1667813051317248,0.24329869860732067,
août 2008–novembre 2019,AR(1),AR(p),136,0.5133035950296021,0.6077389696142355,
août 2008–novembre 2019,AR(1),LinearRegression,136,0.6261473800598568,0.5312182775055849,
août 2008–novembre 2019,AR(1),Ridge + Bagging,136,0.4701937113325571,0.63821662667838,
août 2008–novembre 2019,AR(p),LinearRegression,136,0.3009335660748219,0.7634651539835371,
août 2008–novembre 2019,AR(p),Ridge + Bagging,136,0.043825016458574374,0.9650438859877,
août 2008–novembre 2019,LinearRegression,Ridge + Bagging,136,-1.128988484223601,0.2589026916084811,
décembre 2019–fin,AR(1),AR(p),69,-0.6212332160975813,0.5344461875362929,
décembre 2019–fin,AR(1),LinearRegression,69,1.0577446604422238,0.2901718684142738,
décembre 2019–fin,AR(1),Ridge + Bagging,69,1.0880256923428249,0.27658376549974517,
décembre 2019–fin,AR(p),LinearRegression,69,1.0154933572054208,0.3098707114589647,
décembre 2019–fin,AR(p),Ridge + Bagging,69,1.0387802094654395,0.29890696750596213,
décembre 2019–fin,LinearRegression,Ridge + Bagging,69,-0.3750699388056431,0.7076084531344033,
